"","id","set_roam","n_days","n_obs","max","sd","mean","median","IQR"
"1","0K Deglman #1","settled","138","5188","3278.83260874587","409.401182358617","527.617571090782","500.131456172651","526.049899100512"
"2","1J (Santiago #3)","settled","96","4971","15993.9522545664","2927.27854498784","2939.26869532198","1315.69647016949","3247.95121231826"
"3","1J (Santiago #3)","roam","22","999","42661.9191304312","10777.0032380824","7439.71085829261","3152.07489031239","7706.60440197932"
"4","2M (Bagley)","settled","140","3660","2485.97543468263","515.87116094462","693.210577527666","407.938209979653","526.567689015888"
"5","4J (Santiago #1)","settled","134","6725","12495.603949389","1979.92662025777","6461.78832582947","6494.00437853695","3477.72226424927"
"6","4J (Santiago #1)","roam","17","809","48789.1551117384","7708.89155239173","46474.1281089473","47972.5443719407","1045.24228154682"
"7","4K (Waubun #1)","settled","109","5539","20266.548912036","843.94174581745","2113.9435772698","1984.52541985615","444.885832147726"
"8","4M (Ogema adult)","settled","148","7838","4273.80445091841","604.980880640731","1022.25548748564","816.948951234886","854.239245321916"
"9","5K (Helliksen July adult 2015)","settled","124","6043","2242.91663495245","303.083510888507","421.783857358097","369.204593689094","354.132667711163"
"10","8K (Deglman #2)","settled","107","5736","16763.0854566841","3004.64873955908","6322.45857148527","5297.07825543785","3414.33873169496"
"11","8M (Stockyard adult)","settled","76","3023","9193.63570105254","835.279021732458","7668.60511669051","7893.67314181417","1053.93821851995"
"12","9K (Santiago #2)","settled","141","8027","2921.51681308381","268.97147312816","337.668699650713","252.971468362419","249.790914785608"
"13","9M (Inman adult)","settled","154","8794","2897.35678601129","228.522833688629","317.753517405811","261.411826738487","167.358830017857"
