"","id","set_roam","n_days","n_obs","max","sd","mean","median","IQR"
"1","4E Larson adult #1","settled","143","6722","6706.26833861417","563.428729168133","1404.48285448931","1457.02036790343","689.322296362756"
"2","4E Larson adult #1","roam","4","188","49372.8003434086","1968.19658886552","47473.77321309","47710.5454728105","1811.34382845711"
"3","5K (Helliksen July adult 2015)","settled","148","7554","3924.51272441566","354.98055351908","574.237497033615","493.129168350051","277.59178699101"
"4","5J (Deglman #3)","settled","120","5800","7973.32155660112","429.282839742722","578.103471503627","580.886673400984","132.394545074179"
"5","5J (Deglman #3)","roam","20","1204","16420.8300652001","4357.11202768891","4027.92248576345","1379.9527327255","7029.54515473264"
"6","9K (Santiago #2)","settled","153","8400","6616.63289362492","671.51334816181","708.794074838892","536.21960355987","298.609469943418"
"7","0J (Waubun adult #2)","settled","147","7012","2314.82065369931","224.189187207111","322.73820861492","252.321278156189","212.76578062146"
"8","3K (Rasmussen adult)","settled","82","4172","7999.80190913419","557.642042353265","883.813525043199","757.806505879898","759.107747443611"
"9","4K (Waubun #1)","settled","138","7252","4510.67657093982","701.008820638218","599.384667070529","299.571667896686","454.671608018224"
"10","4K (Waubun #1)","roam","5","205","10420.9351516516","3351.71046230083","5296.6799501618","6429.56319891718","6777.90228212325"
"11","9M (Inman adult)","settled","153","8738","2751.39940279843","180.769611834248","320.77832667265","307.547505127539","236.33681015194"
"12","8M (Stockyard adult)","settled","97","5005","1990.88110894792","327.400934503892","967.007042321148","961.779247233539","368.681366344587"
"13","4J (Santiago #1)","settled","145","7560","56316.4076846922","5481.93826189277","47210.2079228856","44130.4550131281","10071.5960594437"
"14","4J (Santiago #1)","roam","8","384","51401.3627423901","4037.84553307816","30064.3406045015","30251.8563025546","81.6320058945967"
"15","2M (Bagley)","settled","142","6350","8066.19533710184","1164.8948620636","2734.79703460002","3091.13794885489","2040.22125932311"
"16","2M (Bagley)","roam","12","538","36911.4257306504","4149.99184247361","31522.5508267322","32546.4664121775","1478.63008655345"
"17","8K (Deglman #2)","settled","89","4582","7888.50908061129","1293.32446378344","2075.95816921462","1593.05715614575","1867.70327249362"
"18","0K Deglman #1","settled","121","3936","3648.53908055401","557.24890521681","748.302786411639","628.037832762409","557.426722371824"
"19","4M (Ogema adult)","settled","153","8530","4161.35782946031","619.78763138423","716.561145506036","466.12670645459","845.482531598135"
"20","1J (Santiago #3)","settled","143","7629","6736.25980503327","885.39133051399","925.521076991906","742.784877970635","1230.77551326628"
"21","6E (Linden-Kologi)","settled","118","4600","11158.0780089789","937.839448888636","2829.90192213559","2857.33601377673","1184.20463173404"
"22","6E (Linden-Kologi)","roam","7","324","51331.8344800603","17325.9510029711","38081.8851394424","46579.23769921","1203.30817629788"
